epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7689594626426697,0.0010000000474974513,0.9419375061988831,0.942558765411377,0.6366842985153198,0.801075279712677,1.2021433115005493,0.90625,0.7795698642730713
1,0.9770722985267639,0.0010000000474974513,0.1751861870288849,0.9805309772491455,0.9770722985267639,0.8118279576301575,1.4180655479431152,0.9085366129875183,0.801075279712677
2,0.9858906269073486,0.0010000000474974513,0.12568387389183044,0.9893805384635925,0.9858906269073486,0.8172042965888977,1.4811675548553467,0.8982036113739014,0.8064516186714172
3,0.9823633432388306,0.0010000000474974513,0.1326950639486313,0.982332170009613,0.9805996417999268,0.8333333134651184,1.5677669048309326,0.8700565099716187,0.8279569745063782
4,0.9929453134536743,0.0010000000474974513,0.0892232358455658,0.9964601993560791,0.9929453134536743,0.8494623899459839,1.307734727859497,0.8971428275108337,0.8440860509872437
5,0.9911816716194153,0.0010000000474974513,0.10614615678787231,0.9911660552024841,0.9894179701805115,0.7311828136444092,2.8751919269561768,0.8136646151542664,0.7043010592460632
6,0.9964726567268372,0.00020000000949949026,0.0798342302441597,0.9982331991195679,0.9964726567268372,0.7419354915618896,2.7997303009033203,0.8121212124824524,0.7204301357269287
7,0.998236358165741,0.00020000000949949026,0.0744728147983551,0.998236358165741,0.998236358165741,0.7419354915618896,2.9358649253845215,0.7976190447807312,0.7204301357269287
8,0.998236358165741,0.00020000000949949026,0.0820126086473465,0.998236358165741,0.998236358165741,0.7311828136444092,3.1269655227661133,0.7764706015586853,0.7096773982048035
9,1.0,0.00020000000949949026,0.06936720013618469,1.0,1.0,0.7311828136444092,3.089447021484375,0.7777777910232544,0.7150537371635437
10,0.998236358165741,0.00020000000949949026,0.06784497946500778,0.998236358165741,0.998236358165741,0.7473118305206299,2.889028549194336,0.7928994297981262,0.7204301357269287
11,1.0,4.0000002627493814e-05,0.06823640316724777,1.0,1.0,0.7473118305206299,2.749798059463501,0.7953216433525085,0.7311828136444092
12,0.998236358165741,4.0000002627493814e-05,0.07286518812179565,0.998236358165741,0.998236358165741,0.7688171863555908,2.622690200805664,0.7988505959510803,0.7473118305206299
13,1.0,4.0000002627493814e-05,0.06669842451810837,1.0,1.0,0.7795698642730713,2.499936103820801,0.8011363744735718,0.7580645084381104
14,0.998236358165741,4.0000002627493814e-05,0.07247580587863922,0.998236358165741,0.998236358165741,0.7849462628364563,2.5184261798858643,0.790960431098938,0.7526881694793701
